Customer ID,Sales,Customer Segment
CUST000001,3344.69,Low Value
CUST000002,37094.41,Medium Value
CUST000003,35501.08,Medium Value
CUST000004,8969.33,Low Value
CUST000005,35530.44,Medium Value
CUST000006,420.76,Low Value
CUST000007,31588.07,Medium Value
CUST000008,4419.87,Low Value
CUST000009,41494.09,High Value
CUST000010,39717.64,Medium Value
CUST000011,42842.38,High Value
CUST000012,1036.8,Low Value
CUST000013,39274.36,Medium Value
CUST000014,31690.81,Medium Value
CUST000015,40712.36,High Value
CUST000016,34269.7,Medium Value
CUST000017,41271.24,High Value
CUST000018,3896.21,Low Value
CUST000019,15902.47,Low Value
CUST000020,14846.9,Low Value
CUST000021,756.96,Low Value
CUST000022,9172.02,Low Value
CUST000023,34292.47,Medium Value
CUST000024,35973.08,Medium Value
CUST000025,44383.63,High Value
CUST000026,4404.37,Low Value
CUST000027,34934.14,Medium Value
CUST000028,2361.71,Low Value
CUST000029,24468.77,Medium Value
CUST000030,16716.48,Low Value
CUST000031,6167.65,Low Value
CUST000032,44969.55,High Value
CUST000033,38388.24,Medium Value
CUST000034,4999.82,Low Value
CUST000035,32193.01,Medium Value
CUST000036,33453.57,Medium Value
CUST000037,41830.92,High Value
CUST000038,31602.21,Medium Value
CUST000039,7903.34,Low Value
CUST000040,23667.32,Medium Value
CUST000041,39762.15,Medium Value
CUST000042,10843.03,Low Value
CUST000043,35014.14,Medium Value
CUST000044,49912.22,High Value
CUST000045,11595.62,Low Value
CUST000046,40938.72,High Value
CUST000047,43356.81,High Value
CUST000048,37449.42,Medium Value
CUST000049,378.65,Low Value
CUST000050,4596.06,Low Value
CUST000051,15945.03,Low Value
CUST000052,45056.72,High Value
CUST000053,14187.47,Low Value
CUST000054,3119.4,Low Value
CUST000055,5552.12,Low Value
CUST000056,46089.88,High Value
CUST000057,41202.61,High Value
CUST000058,35606.55,Medium Value
CUST000059,25717.31,Medium Value
CUST000060,18052.48,Low Value
CUST000061,24074.86,Medium Value
CUST000062,17103.72,Low Value
CUST000063,33223.0,Medium Value
CUST000064,5549.65,Low Value
CUST000065,1941.21,Low Value
CUST000066,5961.75,Low Value
CUST000067,15033.44,Low Value
CUST000068,21552.93,Medium Value
CUST000069,4878.15,Low Value
CUST000070,46801.69,High Value
CUST000071,22971.7,Medium Value
CUST000072,49342.22,High Value
CUST000073,4357.85,Low Value
CUST000074,37866.05,Medium Value
CUST000075,10613.65,Low Value
CUST000076,34132.43,Medium Value
CUST000077,32935.9,Medium Value
CUST000078,22501.5,Medium Value
CUST000079,4064.52,Low Value
CUST000080,19218.16,Low Value
CUST000081,21489.08,Medium Value
CUST000082,2183.3,Low Value
CUST000083,4252.58,Low Value
CUST000084,12502.21,Low Value
CUST000085,44441.84,High Value
CUST000086,2951.07,Low Value
CUST000087,33732.85,Medium Value
CUST000088,2190.27,Low Value
CUST000089,49298.05,High Value
CUST000090,18541.08,Low Value
CUST000091,14362.94,Low Value
CUST000092,22134.74,Medium Value
CUST000093,3485.44,Low Value
CUST000094,13846.12,Low Value
CUST000095,31236.77,Medium Value
CUST000096,40544.54,High Value
CUST000097,45706.34,High Value
CUST000098,3718.28,Low Value
CUST000099,6704.71,Low Value
CUST000100,3002.3,Low Value
CUST000101,10929.33,Low Value
CUST000102,34572.32,Medium Value
CUST000103,36478.13,Medium Value
CUST000104,26759.07,Medium Value
CUST000105,38898.03,Medium Value
CUST000106,36644.28,Medium Value
CUST000107,25950.92,Medium Value
CUST000108,14299.23,Low Value
CUST000109,6626.91,Low Value
CUST000110,38323.71,Medium Value
CUST000111,26844.64,Medium Value
CUST000112,697.12,Low Value
CUST000113,39346.38,Medium Value
CUST000114,44190.67,High Value
CUST000115,11761.16,Low Value
CUST000116,35444.41,Medium Value
CUST000117,24067.34,Medium Value
CUST000118,793.12,Low Value
CUST000119,5664.79,Low Value
CUST000120,26376.62,Medium Value
CUST000121,19880.0,Low Value
CUST000122,1693.77,Low Value
CUST000123,35934.0,Medium Value
CUST000124,15212.98,Low Value
CUST000125,26067.1,Medium Value
CUST000126,15616.44,Low Value
CUST000127,14652.53,Low Value
CUST000128,43133.85,High Value
CUST000129,21086.8,Medium Value
CUST000130,2435.15,Low Value
CUST000131,10798.16,Low Value
CUST000132,24579.38,Medium Value
CUST000133,38746.73,Medium Value
CUST000134,45799.71,High Value
CUST000135,35224.11,Medium Value
CUST000136,21031.68,Medium Value
CUST000137,7574.82,Low Value
CUST000138,16517.9,Low Value
CUST000139,33455.09,Medium Value
CUST000140,32844.8,Medium Value
CUST000141,33973.99,Medium Value
CUST000142,46639.02,High Value
CUST000143,28889.83,Medium Value
CUST000144,23167.07,Medium Value
CUST000145,42925.93,High Value
CUST000146,30630.46,Medium Value
CUST000147,41485.32,High Value
